quarter,industry1,industry2,occupation1,job_vacancy
2004-Q3,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",500
2004-Q3,manufacturing,electrical products,total,-
2004-Q3,manufacturing,electrical products,"professional, managers, executive and technicians",-
2004-Q3,manufacturing,electrical products,"clerical, sales and services workers",-
2004-Q3,manufacturing,electrical products,"production and transport operators, cleaners and labourers",-
2004-Q3,manufacturing,electronic products,total,1600
2004-Q3,manufacturing,electronic products,"professional, managers, executive and technicians",700
2004-Q3,manufacturing,electronic products,"clerical, sales and services workers",100
2004-Q3,manufacturing,electronic products,"production and transport operators, cleaners and labourers",800
2004-Q3,manufacturing,medical and precision instruments,total,200
2004-Q3,manufacturing,medical and precision instruments,"professional, managers, executive and technicians",100
2004-Q3,manufacturing,medical and precision instruments,"clerical, sales and services workers",-
2004-Q3,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",100
2004-Q3,manufacturing,transport equipment,total,1300
2004-Q3,manufacturing,transport equipment,"professional, managers, executive and technicians",300
2004-Q3,manufacturing,transport equipment,"clerical, sales and services workers",100
2004-Q3,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",900
2004-Q3,manufacturing,other manufacturing industries,total,500
2004-Q3,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",-
2004-Q3,manufacturing,other manufacturing industries,"clerical, sales and services workers",-
2004-Q3,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",400
2004-Q3,construction,construction,total,1000
2004-Q3,construction,construction,"professional, managers, executive and technicians",200
2004-Q3,construction,construction,"clerical, sales and services workers",-
2004-Q3,construction,construction,"production and transport operators, cleaners and labourers",800
2004-Q3,services,wholesale and retail trade,total,2200
2004-Q3,services,wholesale and retail trade,"professional, managers, executive and technicians",500
2004-Q3,services,wholesale and retail trade,"clerical, sales and services workers",1400
2004-Q3,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",300
2004-Q3,services,transport and storage,total,2200
2004-Q3,services,transport and storage,"professional, managers, executive and technicians",400
2004-Q3,services,transport and storage,"clerical, sales and services workers",500
2004-Q3,services,transport and storage,"production and transport operators, cleaners and labourers",1200
2004-Q3,services,hotels and restaurants,total,1800
2004-Q3,services,hotels and restaurants,"professional, managers, executive and technicians",100
2004-Q3,services,hotels and restaurants,"clerical, sales and services workers",1100
2004-Q3,services,hotels and restaurants,"production and transport operators, cleaners and labourers",700
2004-Q3,services,information and communications,total,700
2004-Q3,services,information and communications,"professional, managers, executive and technicians",600
2004-Q3,services,information and communications,"clerical, sales and services workers",200
2004-Q3,services,information and communications,"production and transport operators, cleaners and labourers",-
2004-Q3,services,financial services,total,1200
2004-Q3,services,financial services,"professional, managers, executive and technicians",900
2004-Q3,services,financial services,"clerical, sales and services workers",400
2004-Q3,services,financial services,"production and transport operators, cleaners and labourers",-
2004-Q3,services,real estate and leasing services,total,500
2004-Q3,services,real estate and leasing services,"professional, managers, executive and technicians",100
2004-Q3,services,real estate and leasing services,"clerical, sales and services workers",100
2004-Q3,services,real estate and leasing services,"production and transport operators, cleaners and labourers",300
2004-Q3,services,professional services,total,1000
2004-Q3,services,professional services,"professional, managers, executive and technicians",800
2004-Q3,services,professional services,"clerical, sales and services workers",100
2004-Q3,services,professional services,"production and transport operators, cleaners and labourers",100
2004-Q3,services,administrative and support services,total,900
2004-Q3,services,administrative and support services,"professional, managers, executive and technicians",100
2004-Q3,services,administrative and support services,"clerical, sales and services workers",700
2004-Q3,services,administrative and support services,"production and transport operators, cleaners and labourers",200
2004-Q3,services,"community, social and personal services",total,1400
2004-Q3,services,"community, social and personal services","professional, managers, executive and technicians",600
2004-Q3,services,"community, social and personal services","clerical, sales and services workers",500
2004-Q3,services,"community, social and personal services","production and transport operators, cleaners and labourers",300
2004-Q3,others,others,total,200
2004-Q3,others,others,"professional, managers, executive and technicians",100
2004-Q3,others,others,"clerical, sales and services workers",-
2004-Q3,others,others,"production and transport operators, cleaners and labourers",100
2004-Q4,total,total,total,16200
2004-Q4,total,total,"professional, managers, executive and technicians",5800
2004-Q4,total,total,"clerical, sales and services workers",4600
2004-Q4,total,total,"production and transport operators, cleaners and labourers",5900
