quarter,industry1,industry2,industry3,occupation1,resignation_rate
2005-Q2,services,financial services,insurance,total,1.8
2005-Q2,services,financial services,insurance,"professional, managers, executive and technicians",2
2005-Q2,services,financial services,insurance,"clerical, sales and services workers",1.5
2005-Q2,services,financial services,insurance,"production and transport operators, cleaners and labourers",-
2005-Q2,services,real estate and leasing services,real estate and leasing services,total,3.4
2005-Q2,services,real estate and leasing services,real estate and leasing services,"professional, managers, executive and technicians",2.3
2005-Q2,services,real estate and leasing services,real estate and leasing services,"clerical, sales and services workers",3.4
2005-Q2,services,real estate and leasing services,real estate and leasing services,"production and transport operators, cleaners and labourers",3.9
2005-Q2,services,professional services,"legal, accounting and management services",total,2.4
2005-Q2,services,professional services,"legal, accounting and management services","professional, managers, executive and technicians",1.8
2005-Q2,services,professional services,"legal, accounting and management services","clerical, sales and services workers",3.8
2005-Q2,services,professional services,"legal, accounting and management services","production and transport operators, cleaners and labourers",3.8
2005-Q2,services,professional services,architectural and engineering services,total,2.1
2005-Q2,services,professional services,architectural and engineering services,"professional, managers, executive and technicians",2.2
2005-Q2,services,professional services,architectural and engineering services,"clerical, sales and services workers",1.8
2005-Q2,services,professional services,architectural and engineering services,"production and transport operators, cleaners and labourers",2.2
2005-Q2,services,professional services,other professional services,total,2.5
2005-Q2,services,professional services,other professional services,"professional, managers, executive and technicians",2.5
2005-Q2,services,professional services,other professional services,"clerical, sales and services workers",3.5
2005-Q2,services,professional services,other professional services,"production and transport operators, cleaners and labourers",0.7
2005-Q2,services,administrative and support services,administrative and support services,total,3.6
2005-Q2,services,administrative and support services,administrative and support services,"professional, managers, executive and technicians",2.8
2005-Q2,services,administrative and support services,administrative and support services,"clerical, sales and services workers",3.7
2005-Q2,services,administrative and support services,administrative and support services,"production and transport operators, cleaners and labourers",3.9
2005-Q2,services,"community, social and personal services",education,total,1.7
2005-Q2,services,"community, social and personal services",education,"professional, managers, executive and technicians",1.5
2005-Q2,services,"community, social and personal services",education,"clerical, sales and services workers",2.2
2005-Q2,services,"community, social and personal services",education,"production and transport operators, cleaners and labourers",1.5
2005-Q2,services,"community, social and personal services","health, social and community services",total,1.5
2005-Q2,services,"community, social and personal services","health, social and community services","professional, managers, executive and technicians",1.6
2005-Q2,services,"community, social and personal services","health, social and community services","clerical, sales and services workers",1.5
2005-Q2,services,"community, social and personal services","health, social and community services","production and transport operators, cleaners and labourers",1.3
2005-Q2,services,"community, social and personal services","other community, social and personal services",total,2.7
2005-Q2,services,"community, social and personal services","other community, social and personal services","professional, managers, executive and technicians",2
